Date,AveragePrice,Volume,type,year,region
2016-12-04,1.03,475815.02,conventional,2016,Atlanta
2016-12-11,1.49,71777.85,conventional,2016,Albany
2016-12-11,1.06,422026.71,conventional,2016,Atlanta
2016-12-18,0.94,463483.07,conventional,2016,Atlanta
2016-12-18,1.53,68938.53,conventional,2016,Albany
2016-12-25,0.91,502787.29,conventional,2016,Atlanta
2016-12-25,1.52,73341.73,conventional,2016,Albany
2017-01-01,0.93,547565.88,conventional,2017,Atlanta
2017-01-01,1.47,129948.23,conventional,2017,Albany
2017-01-08,0.98,601546.19,conventional,2017,Atlanta
2017-01-08,1.55,91728.18,conventional,2017,Albany
2017-01-15,1.55,88526.26,conventional,2017,Albany
2017-01-15,0.99,557377.82,conventional,2017,Atlanta
2017-01-22,0.84,755472.09,conventional,2017,Atlanta
2017-01-22,1.59,128679.24,conventional,2017,Albany
2017-01-29,0.95,627695.79,conventional,2017,Atlanta
2017-01-29,1.31,95424.59,conventional,2017,Albany
2017-02-05,0.83,888094.87,conventional,2017,Atlanta
2017-02-05,1.49,183549.08,conventional,2017,Albany
2017-02-12,1.42,97215.94,conventional,2017,Albany
2017-02-12,0.79,666871.06,conventional,2017,Atlanta
2017-02-19,1.67,95475.07,conventional,2017,Albany
2017-02-19,0.86,563018.6,conventional,2017,Atlanta
2017-02-26,0.85,631507.77,conventional,2017,Atlanta
2017-02-26,1.4,88371.09,conventional,2017,Albany
2017-03-05,1.08,511362.62,conventional,2017,Atlanta
2017-03-05,1.18,107354.25,conventional,2017,Albany
2017-03-12,1.21,469277.94,conventional,2017,Atlanta
2017-03-12,1.54,95713.29,conventional,2017,Albany
2017-03-19,1.25,460990.81,conventional,2017,Atlanta
2017-03-19,1.6,92774.61,conventional,2017,Albany
2017-03-26,1.16,122951.65,conventional,2017,Albany
2017-03-26,1.32,443514.95,conventional,2017,Atlanta
2017-04-02,1.26,481933.74,conventional,2017,Atlanta
2017-04-02,1.62,92621.11,conventional,2017,Albany
2017-04-09,1.23,465350.2,conventional,2017,Atlanta
2017-04-09,1.54,105436.11,conventional,2017,Albany
2017-04-16,1.62,90487.05,conventional,2017,Albany
2017-04-16,1.15,543227.58,conventional,2017,Atlanta
2017-04-23,1.21,530030.64,conventional,2017,Atlanta
2017-04-23,1.34,89327.1,conventional,2017,Albany
2017-04-30,1.17,595539.82,conventional,2017,Atlanta
2017-04-30,1.13,124926.39,conventional,2017,Albany
2017-05-07,1.47,127193.26,conventional,2017,Albany
2017-05-07,1.1,726726.65,conventional,2017,Atlanta
2017-05-14,1.77,96750.67,conventional,2017,Albany
2017-05-14,1.18,568923.79,conventional,2017,Atlanta
2017-05-21,1.2,526840.14,conventional,2017,Atlanta
2017-05-21,1.38,100256.85,conventional,2017,Albany
2017-05-28,1.8,121869.11,conventional,2017,Albany
2017-05-28,1.23,523993.71,conventional,2017,Atlanta
2017-06-04,1.08,710038.58,conventional,2017,Atlanta
2017-06-04,1.7,84842.97,conventional,2017,Albany
2017-06-11,1.13,572838.59,conventional,2017,Atlanta
2017-06-11,1.65,91949.26,conventional,2017,Albany
2017-06-18,1.58,97079.34,conventional,2017,Albany
2017-06-18,1.2,492836.43,conventional,2017,Atlanta
2017-06-25,1.53,89303.04,conventional,2017,Albany
2017-06-25,1.12,501274.14,conventional,2017,Atlanta
2017-07-02,1.16,528297.88,conventional,2017,Atlanta
2017-07-02,1.56,98282.07,conventional,2017,Albany
2017-07-09,1.52,101331.41,conventional,2017,Albany
2017-07-09,1.19,507337.7,conventional,2017,Atlanta
2017-07-16,1.39,102461.61,conventional,2017,Albany
2017-07-16,1.2,582068.66,conventional,2017,Atlanta
2017-07-23,1.49,84416.61,conventional,2017,Albany
2017-07-23,1.24,518682.51,conventional,2017,Atlanta
